Ticker,Year,Quarter,Return,MarketCap,Sector
MMM,2017,Q1,0.0,114.43,Industrials
MMM,2017,Q2,1.0881,124.52,Industrials
MMM,2017,Q3,1.0961,125.44,Industrials
MMM,2017,Q4,1.2283,140.56,Industrials
MMM,2018,Q1,1.1077,126.76,Industrials
MMM,2018,Q2,1.0167,116.34,Industrials
MMM,2018,Q3,1.0858,124.26,Industrials
MMM,2018,Q4,-0.9669,110.65,Industrials
MMM,2019,Q1,1.0696,122.4,Industrials
MMM,2019,Q2,-0.881,100.81,Industrials
MMM,2019,Q3,-0.8282,94.78,Industrials
MMM,2019,Q4,-0.8885,101.67,Industrials
MMM,2020,Q1,-0.6881,78.74,Industrials
MMM,2020,Q2,-0.7865,90.01,Industrials
MMM,2020,Q3,-0.8088,92.55,Industrials
MMM,2020,Q4,-0.8839,101.15,Industrials
MMM,2021,Q1,-0.9774,111.85,Industrials
MMM,2021,Q2,1.0085,115.4,Industrials
MMM,2021,Q3,-0.8885,101.67,Industrials
MMM,2021,Q4,-0.8924,102.12,Industrials
AOS,2017,Q1,0.0,8.84,Industrials
AOS,2017,Q2,1.0968,9.7,Industrials
AOS,2017,Q3,1.1527,10.19,Industrials
AOS,2017,Q4,1.1945,10.56,Industrials
AOS,2018,Q1,1.1925,10.54,Industrials
AOS,2018,Q2,1.141,10.09,Industrials
AOS,2018,Q3,1.0352,9.15,Industrials
AOS,2018,Q4,-0.8121,7.18,Industrials
AOS,2019,Q1,1.0212,9.03,Industrials
AOS,2019,Q2,-0.8777,7.76,Industrials
AOS,2019,Q3,-0.8808,7.79,Industrials
AOS,2019,Q4,-0.8748,7.74,Industrials
AOS,2020,Q1,-0.6922,6.12,Industrials
AOS,2020,Q2,-0.8581,7.59,Industrials
AOS,2020,Q3,-0.9615,8.5,Industrials
AOS,2020,Q4,1.0029,8.87,Industrials
AOS,2021,Q1,1.2379,10.95,Industrials
AOS,2021,Q2,1.3194,11.67,Industrials
AOS,2021,Q3,1.1182,9.89,Industrials
AOS,2021,Q4,1.5307,13.53,Industrials
ABT,2017,Q1,0.0,77.06,Health Care
ABT,2017,Q2,1.0959,84.46,Health Care
ABT,2017,Q3,1.2052,92.88,Health Care
ABT,2017,Q4,1.3302,102.51,Health Care
ABT,2018,Q1,1.3243,102.05,Health Care
ABT,2018,Q2,1.3884,107.0,Health Care
ABT,2018,Q3,1.6893,130.18,Health Care
ABT,2018,Q4,1.6478,126.98,Health Care
ABT,2019,Q1,1.8236,140.53,Health Care
ABT,2019,Q2,1.9377,149.33,Health Care
ABT,2019,Q3,1.9201,147.97,Health Care
ABT,2019,Q4,1.9866,153.09,Health Care
ABT,2020,Q1,1.8112,139.58,Health Care
ABT,2020,Q2,2.1006,161.88,Health Care
ABT,2020,Q3,2.503,192.89,Health Care
ABT,2020,Q4,2.5165,193.93,Health Care
ABT,2021,Q1,2.7631,212.93,Health Care
ABT,2021,Q2,2.6669,205.52,Health Care
ABT,2021,Q3,2.7106,208.89,Health Care
ABT,2021,Q4,3.2217,248.28,Health Care
ABBV,2017,Q1,0.0,103.69,Health Care
ABBV,2017,Q2,1.1144,115.56,Health Care
ABBV,2017,Q3,1.3678,141.83,Health Care
ABBV,2017,Q4,1.511,156.68,Health Care
ABBV,2018,Q1,1.3996,145.13,Health Care
ABBV,2018,Q2,1.3529,140.28,Health Care
ABBV,2018,Q3,1.3781,142.9,Health Care
ABBV,2018,Q4,1.3148,136.33,Health Care
ABBV,2019,Q1,1.1516,119.41,Health Care
ABBV,2019,Q2,1.0465,108.51,Health Care
ABBV,2019,Q3,1.0799,111.97,Health Care
ABBV,2019,Q4,1.2628,130.94,Health Care
ABBV,2020,Q1,1.085,112.51,Health Care
ABBV,2020,Q2,1.6705,173.22,Health Care
